,Date,Volume,Open,High,Low,Close,Median,ac,jaw,teeth,lips,bjaw,bteeth,blips,ao,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,jaws_tmp,teeth_tmp,lips_tmp,fdbb,fdbs,fdb,aof,aoaz,aobz,zlc,zlcb,zlcs,zcol,sz,bz,acs,acb,ss,sb
20,2023-01-18 10:00:00,19468,3995.85,4016.005,3992.58,4007.34,4004.2925,-4.6335735294,3967.0764298971,3986.3473137544,3991.4945290546,3884.208754163,3872.6371481634,3892.1009729411,21.5666764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3991.5746639945,3995.8654588759,3998.2239319445,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0
21,2023-01-18 14:00:00,88925,4007.34,4016.84,3947.08,3948.47,3981.96,-6.4708588235,3968.7274737511,3987.4923370351,3992.7996232437,3883.7641614196,3873.3682909241,3894.773591384,16.8245294118,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3990.3728309952,3993.0843671008,3992.8026212964,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
22,2023-01-18 18:00:00,32529,3948.47,3955.34,3927.33,3929.34,3941.335,-11.8710705882,3970.4438219241,3987.2979824057,3993.7586985949,3883.3511933138,3874.2865947255,3897.1431916375,7.3905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3984.2431021208,3982.7344936806,3975.6467475309,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
23,2023-01-18 22:00:00,6378,3929.34,3932.53,3923.01,3923.53,3927.77,-19.4253029412,3972.8650663915,3988.638234605,3995.8654588759,3882.6128091192,3875.1882020941,3899.5903036481,-6.7740588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3977.1839643557,3971.7415949445,3959.6878316873,0.0,0.0,0.0,0.0,0,1,-1.0,0.0,1.0,red,1.0,0.0,0.0,0.0,0.0,0.0
24,2023-01-19 02:00:00,5981,3923.53,3929.03,3921.1,3922.52,3925.065,-24.8506352941,3974.6067920537,3989.7578302794,3993.0843671008,3881.8837607022,3876.0756893287,3901.5092653055,-21.3113823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3970.6690938112,3962.4062759556,3948.1468877915,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
25,2023-01-19 06:00:00,15748,3922.52,3928.53,3911.26,3912.64,3919.895,-29.5115647059,3975.4783849726,3991.5746639945,3982.7344936806,3881.1731004696,3877.0787677046,3903.3095810318,-37.8570588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3964.3223320848,3953.9040207645,3938.729591861,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
26,2023-01-19 10:00:00,24284,3912.64,3916.28,3890.76,3901.89,3903.52,-30.2407058824,3977.2123553594,3990.3728309952,3971.7415949445,3880.5420543969,3878.2433355645,3905.8600345309,-52.4388823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3956.7220405742,3943.8272166116,3926.9930612407,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
27,2023-01-19 14:00:00,84766,3901.89,3917.53,3885.52,3898.89,3901.525,-23.2796058824,3978.7802511009,3984.2431021208,3962.4062759556,3879.8036605273,3879.7212749179,3908.6892982212,-58.6948529412,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,3949.8224105024,3935.3667732893,3918.5037074938,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0
28,2023-01-19 18:00:00,54397,3898.89,3924.28,3898.51,3904.27,3911.395,-14.1432117647,3980.7427317855,3977.1839643557,3953.9040207645,3879.2217092854,3881.3575244648,3911.5454953323,-60.2545588235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945.0189841896,3930.5724186314,3916.1341383292,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,1.0,0.0,0.0
29,2023-01-19 22:00:00,6359,3904.27,3910.62,3901.85,3909.37,3906.235,-7.8070235294,3980.836367802,3970.6690938112,3943.8272166116,3878.85416199,3883.0155694745,3913.8875395872,-62.0701176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3940.1709861659,3925.7049349051,3912.8344255528,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,1.0,0.0,0.0
30,2023-01-20 02:00:00,4426,3909.37,3910.62,3905.35,3910.11,3907.985,-3.4008352941,3977.797801048,3964.3223320848,3935.3667732893,3878.9626545519,3884.6048318477,3916.11290607,-62.6156470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3936.1477378952,3922.1609479241,3911.2179503685,0.0,0.0,0.0,-13.0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,1.0,0.0,0.0
31,2023-01-20 06:00:00,11963,3910.11,3917.37,3899.6,3901.73,3908.485,0.7989764706,3973.9495086597,3956.7220405742,3930.5724186314,3879.2131865233,3886.0976985414,3918.4860558914,-59.9100735294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3932.6898956583,3919.4257583393,3910.3069669124,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0
32,2023-01-20 10:00:00,16558,3901.73,3915.37,3896.36,3904.35,3905.865,3.2466558824,3970.1891618397,3949.8224105024,3925.7049349051,3879.5186001578,3887.6241040225,3920.7413189535,-57.1542794118,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3929.336783701,3916.7136066714,3908.8263112749,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,green,0.0,1.0,0.0,0.0,0.0,0.0
33,2023-01-20 14:00:00,61780,3904.35,3938.62,3896.85,3932.35,3917.735,5.2042941176,3966.3203801597,3945.0189841896,3922.1609479241,3879.8092900437,3889.3795748584,3922.7831919254,-53.9321617647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3927.8865607384,3916.9178853371,3911.7958741833,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,green,0.0,1.0,0.0,0.0,0.0,0.0
