,Date,Volume,Open,High,Low,Close,Median
157,20.1.31-12 22:00:00,344992,16046.99,16222.93,16011.785,16212.3,16117.3575
158,20.1.31-15 22:00:00,351715,16212.3,16285.33,16093.3,16205.22,16189.314999999999
159,20.1.31-16 22:00:00,3270.1.36205.22,16331.3800000000.1.36150.2,16301.45,16240.79
160,20.1.31-17 22:00:00,353850,16301.45,16400.86,16274.44,16326.3800000000.1.36337.650000000001
161,20.1.31-18 22:00:00,411578,16326.3800000000.1.36512.1,16309.41,16509.03,16410.754999999997
162,20.1.31-19 22:00:00,448572,16509.03,16632.61,16494.739999999998,16587.39,16563.675
163,20.1.31-22 22:00:00,492312,16587.39,16770.46,16369.39,16403.23,16569.925
164,20.1.31-23 22:00:00,626419,16403.23,16423.08,16123.07,16302.85,16273.075
165,20.1.31-24 22:00:00,462644,16302.85,16372.58,16106.98,16359.18,16239.779999999999
166,20.1.31-25 22:00:00,78934,16359.18,16439.29,16356.1300000000.1.36409.79,16397.71
167,20.1.31-26 22:00:00,524733,16409.79,16417.04,15992.725,16046.475,16204.8825
168,20.1.31-29 22:00:00,524013,16046.475,16441.809999999998,16049.42,16418.23,16245.614999999998
169,20.1.31-30 22:00:00,661086,16418.23,16459.120000000003,16072.69,16242.74,16265.905000000002
170,20.1.32-01 22:00:00,618060.1.342.74,16431.269999999997,15830.275,15863.68,16130.7725
171,20.1.32-02 22:00:00,687991,15863.68,16069.18,15766.32,16018.62,15917.75
172,20.1.32-03 22:00:00,672697,16018.62,16121.96,15539.3,15683.71,15830.63
173,20.1.32-06 22:00:00,565374,15683.71,15898.35,15563.14,15851.07,15730.744999999999
174,20.1.32-07 22:00:00,385501,15851.07,16375.54,15825.55,16367.04,16100.545
175,20.1.32-08 22:00:00,420461,16367.04,16425.14,16253.35,16383.52,16339.244999999999
176,20.1.32-09 22:00:00,441443,16383.52,16421.11,16121.8800000000.1.36156.38,16271.495
177,20.1.32-10 22:00:00,357305,16156.38,16336.39,16134.81,16318.68,16235.599999999999
178,20.1.32-13 22:00:00,436584,16318.68,16412.0.1.365.55,16094.39,16238.775
179,20.1.32-14 22:00:00,503221,16094.39,16133.83,15739.61,15928.93,15936.720000000001
180,20.1.32-15 22:00:00,491296,15928.93,16303.09,15744.86,16288.88,16023.975
181,20.1.32-16 22:00:00,420608,16288.88,16459.71,15800.81,15883.98,16130.259999999998
182,20.1.32-17 22:00:00,594327,15883.98,15976.29,15671.64,15846.91,15823.965
183,20.1.32-20 22:00:00,668083,15846.91,15871.25,15512.58,15694.85,15691.915
184,20.1.32-21 22:00:00,467858,15694.85,16005.15,15623.75,15993.13,15814.45
185,20.1.32-22 22:00:00,412992,15993.13,16200.8800000000.1.35900.244999999999,16197.49,16050.5625
186,20.1.32-23 22:00:00,281244,16197.49,16373.46,16163.79,16320.81,16268.625
187,20.1.32-27 22:00:00,287566,16320.81,16598.739999999998,16322.68,16588.39,16460.71
188,20.1.32-28 22:00:00,384388,16588.39,16676.47,16471.64,16530.02,16574.055
189,20.1.32-29 22:00:00,350270,16530.02,16582.17,16406.1,16499.53,16494.135
190,20.1.32-30 22:00:00,274238,16499.52,16585.769999999997,16429.989999999998,16448.87,16507.879999999997
191,20.1.32-31 22:00:00,277620,16448.88,16481.58,16365.89,16403.59,16423.735
192,2022-01-03 22:00:00,395634,16403.59,16526.25,16310.75,16513.88,16418.5
193,2022-01-04 22:00:00,489293,16513.88,16579.64,16156.68,16276.6,16368.16
194,2022-01-05 22:00:00,568838,16276.6,16284.64,15768.86,15769.79,16026.75
195,2022-01-06 22:00:00,648956,15769.79,15910.51,15616.09,15809.22,15763.3
196,2022-01-07 22:00:00,565177,15809.22,15868.14,15525.81,15592.39,15696.974999999999
197,2022-01-10 22:00:00,678073,15592.39,15683.689999999999,15168.01,15632.69,15425.849999999999
198,2022-01-11 22:00:00,628602,15632.69,15854.6500000000.1.35490.49,15840.4,15672.57
199,2022-01-12 22:00:00,628813,15840.4,16028.69,15782.349999999999,15916.24,15905.52
200,2022-01-13 22:00:00,575991,15916.24,15997.64,15478.16,15520.54,15737.9
201,2022-01-14 22:00:00,699774,15520.54,15630.009999999998,15328.32,15629.64,15479.164999999999
202,2022-01-17 22:00:00,147474,15629.64,15669.26,15523.765,15574.635,15596.5125
203,2022-01-18 22:00:00,780262,15574.635,15618.61,15186.93,15255.86,15402.77
204,2022-01-19 22:00:00,794986,15255.86,15386.779999999999,15027.82,15051.96,15207.3
205,2022-01-20 22:00:00,706288,15051.96,15356.21,14662.990000000002,14741.74,15009.6
206,2022-01-21 22:00:00,799456,14741.85,14874.35,14425.25,14443.25,14649.8
207,2022-01-24 22:00:00,956937,14443.15,14597.3,13722.9,14520.55,14160.099999999999
208,2022-01-25 22:00:00,864779,14520.55,14515.8,13907.45,13938.75,14211.625
209,2022-01-26 22:00:00,710178,13938.75,14656.4000000000.1.33963.0.1.368.45,14309.7
210,2022-01-27 22:00:00,1971440.1.368.45,14425.95,13862.75,14129.35,14144.35
211,2022-01-28 22:00:00,953033,14129.35,14458.75,13848.1500000000.1.34446.75,14153.45
212,2022-01-31 22:00:00,689863,14468.75,14929.25,14368.55,14881.25,14648.9
213,2022-02-01 22:00:00,584400,14883.45,15151.349999999999,14744.25,15130.15,14947.8
214,2022-02-02 22:00:00,645069,15145.05,15275.6500000000.1.34842.2,14878.35,15058.925000000001
215,2022-02-03 22:00:00,699923,14868.55,14885.6500000000.1.34474.55,14820.25,14680.1
216,2022-02-04 22:00:00,795239,14782.05,14837.55,14375.5,14659.05,14606.525
217,2022-02-07 22:00:00,730851,14696.3,14817.45,14523.25,14612.15,14670.35
218,2022-02-08 22:00:00,604853,14612.75,14787.45,14480.35,14757.75,14633.900000000001
219,2022-02-09 22:00:00,449987,14757.45,15078.95,14753.25,15063.45,14916.1
220,2022-02-10 22:00:00,778024,15072.25,15072.25,14633.35,14706.55,14852.8
221,2022-02-11 22:00:00,891147,14707.45,14775.75,14190.95,14278.45,14483.35
222,2022-02-14 22:00:00,998224,14259.65,14401.95,14038.849999999999,14268.85,14220.4
223,2022-02-15 22:00:00,604238,14265.15,14621.15,14230.6500000000.1.34589.55,14425.900000000001
224,2022-02-16 22:00:00,689457,14595.9,14673.05,14386.15,14597.95,14529.599999999999
225,2022-02-17 22:00:00,631833,14595.25,14623.849999999999,14138.0.1.361.55,14380.925
226,2022-02-18 22:00:00,698820.1.361.45,14302.75,13910.55,14018.95,14106.65
227,2022-02-21 22:00:00,321202,13957.45,14161.75,13721.05,13739.5,13941.4
228,2022-02-22 22:00:00,1086022,13680.35,14113.05,13586.35,13925.85,13849.7
229,2022-02-23 22:00:00,808986,13933.6500000000.1.34074.05,13477.1500000000.1.33492.65,13775.6
230,2022-02-24 22:00:00,1246251,13486.35,13987.05,13029.7,13913.85,13508.375
231,2022-02-25 22:00:00,942573,13912.3,14199.6500000000.1.33764.45,14190.85,13982.050000000001
232,2022-02-28 22:00:00,807024,13891.75,14293.75,13689.3,14222.85,13991.525
233,2022-03-01 22:00:00,717152,14223.9,14330.8,13905.35,140.1.35,14118.075
234,2022-03-02 22:00:00,657310.1.327.849999999999,14289.8,13915.75,14200.15,14102.775
235,2022-03-03 22:00:00,640271,14199.349999999999,14394.349999999999,13961.65,14062.95,14178.0
236,2022-03-04 22:00:00,745386,14069.1500000000.1.34088.349999999999,13736.25,13809.65,13912.3
237,2022-03-07 22:00:00,937617,13763.3,13880.15,13266.0.1.370.35,13573.075
238,2022-03-08 22:00:00,869110.1.382.45,13665.7,13104.35,13195.95,13385.025000000001
239,2022-03-09 22:00:00,829702,13198.25,13821.55,13189.6500000000.1.33774.75,13505.6
240,2022-03-10 22:00:00,795049,13774.65,13777.55,13396.55,13573.95,13587.05
241,2022-03-11 22:00:00,516849,13574.6,13859.7,13281.6500000000.1.33319.85,13570.675000000001
242,2022-03-14 21:00:00,509407,13363.6,13446.35,13016.95,130.1.35,13231.650000000001
243,2022-03-15 21:00:00,471252,13083.45,13487.55,12943.15,13446.05,13215.349999999999
244,2022-03-16 21:00:00,488912,13446.6500000000.1.34027.4,13419.25,14000.25,13723.325
245,2022-03-17 21:00:00.1.3622,13994.9000000000.1.34134.9000000000.1.33897.099999999999,14054.15,14016.0
246,2022-03-18 21:00:00,610016,14049.849999999999,14434.95,13960.7,14426.45,14197.825
247,2022-03-21 21:00:00,723217,14415.55,14475.15,14192.65,14402.55,14333.9
