Date,Volume,Open,High,Low,Close,Median
2021-04-14 21:00:00,42283,4133.02,4176.38,4129.58,4172.57,4152.98
2021-04-15 21:00:00,45476,4172.57,4193.04,4164.25,4182.49,4178.645
2021-04-18 21:00:00,67072,4182.49,4184.53,4151.76,4166.27,4168.145
2021-04-19 21:00:00,80897,4166.27,4176.83,4120.54,4130.1,4148.685
2021-04-20 21:00:00,59957,4130.1,4176.785,4122.75,4166.63,4149.7675
2021-04-21 21:00:00,92597,4166.63,4180.91,4124.87,4139.33,4152.89
2021-04-22 21:00:00,50087,4139.33,4196.04,4137.02,4176.72,4166.53
2021-04-25 21:00:00,47235,4176.72,4195.15,4173.39,4190.77,4184.27
2021-04-26 21:00:00,48673,4190.77,4201.445,4177.11,4189.66,4189.2775
2021-04-27 21:00:00,58839,4189.66,4203.16,4182.4,4194.37,4192.78
2021-04-28 21:00:00,66221,4194.37,4219.97,4177.21,4209.04,4198.59
2021-04-29 21:00:00,69582,4209.04,4210.02,4176.33,4189.75,4193.175
2021-05-02 21:00:00,58099,4189.75,4211.25,4189.75,4192.85,4200.5
2021-05-03 21:00:00,96739,4192.85,4194.32,4129.68,4167.08,4162.0
2021-05-04 21:00:00,57286,4167.08,4188.89,4162.24,4167.01,4175.565
2021-05-05 21:00:00,92242,4167.01,4205.55,4149.06,4204.62,4177.305
2021-05-06 21:00:00,71211,4204.62,4239.75,4199.36,4235.1,4219.555
2021-05-09 21:00:00,75712,4235.1,4245.99,4179.99,4183.61,4212.99
2021-05-10 21:00:00,148744,4183.61,4193.14,4112.49,4147.92,4152.815
2021-05-11 21:00:00,173833,4147.92,4157.405,4058.15,4058.96,4107.7775
2021-05-12 21:00:00,171161,4058.96,4132.96,4035.89,4117.21,4084.425
2021-05-13 21:00:00,88963,4117.21,4184.18,4111.58,4179.65,4147.88
2021-05-16 21:00:00,116143,4179.65,4184.77,4142.98,4166.71,4163.875
2021-05-17 21:00:00,75037,4166.71,4184.96,4117.555,4120.21,4151.2575
